month,rank,title,author,primary_isbn10,dagger,publisher,weeks_on_list,genre,pages
2014-11,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,99,Suspense/Thriller,432
2014-12,1,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,1476746583,0,Scribner,13,Historical Fiction,544
2015-01,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,109,Suspense/Thriller,432
2015-02,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,4,Suspense/Thriller,320
2015-03,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,9,Suspense/Thriller,320
2015-04,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,13,Suspense/Thriller,320
2015-05,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,18,Suspense/Thriller,320
2015-06,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,22,Suspense/Thriller,320
2015-07,1,GREY,E L James,1101946350,0,Vintage,4,Romance,640
2015-08,1,GO SET A WATCHMAN,Harper Lee,0062409859,0,Harper,5,Historical Fiction,288
2015-09,1,MAKE ME,Lee Child,080417878X,0,Delacorte,1,Suspense/Thriller,576
2015-10,1,THE MARTIAN,Andy Weir,None,0,Crown,19,Science Fiction,416
2015-11,1,ROGUE LAWYER,John Grisham,0385539436,0,Doubleday,4,Suspense/Thriller,352
2015-12,1,ROGUE LAWYER,John Grisham,0385539436,0,Doubleday,8,Suspense/Thriller,352
2016-01,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,49,Suspense/Thriller,320
2016-02,1,BROTHERHOOD IN DEATH,Nora Roberts,None,0,Berkley,1,Suspense/Thriller,400
2016-03,1,ME BEFORE YOU,Jojo Moyes,0143124544,0,Penguin,4,Romance,480
2016-04,1,FOOL ME ONCE,Harlan Coben,0698404173,0,Dutton,2,Suspense/Thriller,400
2016-05,1,ME BEFORE YOU,Jojo Moyes,,0,Penguin,15,Romance,480
2016-06,1,ME BEFORE YOU,Jojo Moyes,,0,Penguin,18,Romance,480
2016-07,1,ME BEFORE YOU,Jojo Moyes,,0,Penguin,23,Romance,480
2016-08,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,74,Suspense/Thriller,320
2016-09,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,79,Suspense/Thriller,320
2016-10,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,86,Suspense/Thriller,320
2016-11,1,THE WHISTLER,John Grisham,0385541201,0,Doubleday,1,Suspense/Thriller,432
2016-12,1,THE WHISTLER,John Grisham,0385541198,0,Doubleday,6,Suspense/Thriller,432
2017-01,1,THE WHISTLER,John Grisham,0385541198,0,Doubleday,9,Suspense/Thriller,432
2017-02,1,A DOG'S PURPOSE,W Bruce Cameron,0765388111,0,Forge Books,8,General Fiction,336
2017-03,1,THE SHACK,William P Young,0964729296,0,Windblown Media,7,Suspense/Thriller,256
2017-04,1,THE SHACK,William P Young,0964729296,0,Windblown Media,8,Suspense/Thriller,256
2017-05,1,INTO THE WATER,Paula Hawkins,0735211205,0,Riverhead,2,Suspense/Thriller,400
2017-06,1,CAMINO ISLAND,John Grisham,0385543050,0,Doubleday,1,Suspense/Thriller,304
2017-07,1,CAMINO ISLAND,John Grisham,0385543026,0,Doubleday,5,Suspense/Thriller,304
2017-08,1,THE LATE SHOW,Michael Connelly,0316225975,0,"Little, Brown",2,Suspense/Thriller,448
2017-09,1,SECRETS IN DEATH,Nora Roberts,None,0,St. Martin's,1,Suspense/Thriller,384
2017-10,1,ORIGIN,Dan Brown,0385514239,0,Doubleday,2,Suspense/Thriller,461
2017-11,1,ORIGIN,Dan Brown,0385514239,0,Doubleday,3,Suspense/Thriller,461
2017-12,1,THE ROOSTER BAR,John Grisham,0385541171,0,Doubleday,8,Suspense/Thriller,368
2018-01,1,ORIGIN,Dan Brown,0385514239,0,Doubleday,12,Suspense/Thriller,461
2018-02,1,THE GREAT ALONE,Kristin Hannah,125016561X,0,St. Martin's,1,Historical Fiction,440
2018-03,1,THE GREAT ALONE,Kristin Hannah,125016561X,0,St. Martin's,4,Historical Fiction,440
2018-04,1,READY PLAYER ONE,Ernest Cline,0307887448,0,Broadway,20,Science Fiction,384
2018-05,1,THE 17TH SUSPECT,James Patterson and Maxine Paetro,0316274046,0,"Little, Brown",2,Suspense/Thriller,368
2018-06,1,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,1780898401,0,"Little, Brown and Knopf",1,Suspense/Thriller,513
2018-07,1,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,0316412694,0,"Little, Brown and Knopf",6,Suspense/Thriller,513
2018-08,1,ORIGIN,Dan Brown,0385542690,0,Doubleday,23,Suspense/Thriller,461
2018-09,1,CRAZY RICH ASIANS,Kevin Kwan,0345803787,0,Anchor,12,Romance,576
2018-10,1,HOLY GHOST,John Sandford,0735217335,0,Putnam,1,Suspense/Thriller,432
2018-11,1,THE RECKONING,John Grisham,0385544162,0,Doubleday,1,Suspense/Thriller,432
2018-12,1,THE RECKONING,John Grisham,0385544154,0,Doubleday,8,Suspense/Thriller,432
2019-01,1,THE RECKONING,John Grisham,0385544154,0,Doubleday,9,Suspense/Thriller,432
2019-02,1,WHERE THE CRAWDADS SING,Delia Owens,0735219117,0,Putnam,21,Mystery/Crime,372
2019-03,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,27,Mystery/Crime,372
2019-04,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,31,Mystery/Crime,372
2019-05,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,35,Mystery/Crime,372
2019-06,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,40,Mystery/Crime,372
2019-07,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,43,Mystery/Crime,372
2019-08,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,48,Mystery/Crime,372
2019-09,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,50,Mystery/Crime,372
2019-10,1,THE INSTITUTE,Stephen King,1982110562,0,Scribner,2,Horror,576
2019-11,1,BLUE MOON,Lee Child,0399593543,0,Delacorte,2,Suspense/Thriller,447
2019-12,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,66,Mystery/Crime,372
2020-01,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,70,Mystery/Crime,372
2020-02,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,71,Mystery/Crime,372
2020-03,1,AMERICAN DIRT,Jeanine Cummins,1250209765,0,Flatiron,4,Suspense/Thriller,400
2020-04,1,LITTLE FIRES EVERYWHERE,Celeste Ng,0735224315,0,Penguin Press,61,General Fiction,352
2020-05,1,CAMINO WINDS,John Grisham,0385545932,0,Doubleday,3,Suspense/Thriller,336
2020-06,1,THE VANISHING HALF,Brit Bennett,0525536299,0,Riverhead,1,Historical Fiction,352
2020-07,1,THE VANISHING HALF,Brit Bennett,0525536299,0,Riverhead,6,Historical Fiction,352
2020-08,1,WHERE THE CRAWDADS SING,Delia Owens,0735219095,0,Putnam,101,Mystery/Crime,372
2020-09,1,SHADOWS IN DEATH,Nora Roberts,125020724X,0,St. Martin's,1,Suspense/Thriller,368
2020-10,1,THE RETURN,Nicholas Sparks,1538728575,0,Grand Central,1,Romance,368
2020-11,1,A TIME FOR MERCY,John Grisham,0385545967,0,Doubleday,2,Suspense/Thriller,480
2020-12,1,READY PLAYER TWO,Ernest Cline,1524761338,0,Ballantine,3,Science Fiction,366
2021-01,1,THE DUKE AND I,Julia Quinn,None,0,Avon,3,Romance,480
2021-02,1,THE FOUR WINDS,Kristin Hannah,1250178606,0,St. Martin's,2,Historical Fiction,480
2021-03,1,THE FOUR WINDS,Kristin Hannah,1250178606,0,St. Martin's,6,Historical Fiction,480
2021-04,1,THE FOUR WINDS,Kristin Hannah,1250178606,0,St. Martin's,8,Historical Fiction,480
2021-05,1,SOOLEY,John Grisham,0385547684,0,Doubleday,1,General Fiction,354
2021-06,1,THE LAST THING HE TOLD ME,Laura Dave,1501171364,0,Simon & Schuster,3,Suspense/Thriller,336
2021-07,1,THE LAST THING HE TOLD ME,Laura Dave,1501171348,0,Simon & Schuster,8,Suspense/Thriller,336
2021-08,1,THE LAST THING HE TOLD ME,Laura Dave,1501171348,0,Simon & Schuster,13,Suspense/Thriller,336
2021-09,1,FORGOTTEN IN DEATH,Nora Roberts,1250272823,0,St. Martin's,1,Suspense/Thriller,384
2021-10,1,APPLES NEVER FALL,Liane Moriarty,1250220254,0,Holt,2,Suspense/Thriller,480
2021-11,1,THE JUDGE'S LIST,John Grisham,0385546025,0,Doubleday,1,Suspense/Thriller,368
2021-12,1,CALL US WHAT WE CARRY,Amanda Gorman,0593465067,0,Viking,1,Poetry,240
2022-01,1,IT ENDS WITH US,Colleen Hoover,1501110365,0,Atria,31,Romance,376
2022-02,1,IT ENDS WITH US,Colleen Hoover,1501110365,0,Atria,34,Romance,376
2022-03,1,HOUSE OF SKY AND BREATH,Sarah J. Maas,1635574072,0,Bloomsbury,1,Fantasy,805
2022-04,1,WHERE THE CRAWDADS SING,Delia Owens,0735219109,0,Putnam,154,Mystery/Crime,372
2022-05,1,IT ENDS WITH US,Colleen Hoover,1501110365,0,Atria,46,Romance,376
2022-06,1,IT ENDS WITH US,Colleen Hoover,1501110365,0,Atria,52,Romance,376
2022-07,1,WHERE THE CRAWDADS SING,Delia Owens,0735219109,0,Putnam,169,Mystery/Crime,372
2022-08,1,WHERE THE CRAWDADS SING,Delia Owens,0735219109,0,Putnam,173,Mystery/Crime,372
2022-09,1,WHERE THE CRAWDADS SING,Delia Owens,0735219109,0,Putnam,174,Mystery/Crime,372
2022-10,1,WHERE THE CRAWDADS SING,Delia Owens,0735219109,0,Putnam,178,Mystery/Crime,372
2022-11,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,4,Romance,336
2022-12,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,8,Romance,336
2023-01,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,13,Romance,336
2023-02,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,14,Romance,336
2023-03,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,21,Romance,336
2023-04,1,IT STARTS WITH US,Colleen Hoover,1668001225,0,Atria,25,Romance,336
2023-05,1,HAPPY PLACE,Emily Henry,0593441273,0,Berkley,3,Romance,400
2023-06,1,HAPPY PLACE,Emily Henry,0593441273,0,Berkley,6,Romance,400
2023-07,1,FOURTH WING,Rebecca Yarros,1649374046,0,Red Tower,11,Fantasy,512
2023-08,1,FOURTH WING,Rebecca Yarros,1649374046,0,Red Tower,15,Fantasy,512
2023-09,1,FOURTH WING,Rebecca Yarros,1649374046,0,Red Tower,18,Fantasy,512
2023-10,1,FOURTH WING,Rebecca Yarros,1649374046,0,Red Tower,24,Fantasy,512
2023-11,1,IRON FLAME,Rebecca Yarros,1649374178,0,Red Tower,1,Fantasy,640
2023-12,1,IRON FLAME,Rebecca Yarros,1649374178,0,Red Tower,3,Fantasy,640
